
All device pins and their pinmux options

Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
H20,GPIO109,,PR0_PRU1_GPIO0,MCAN1_RX,RMII1_RXD0,RGMII1_RD0,MII1_RXD0,,,GPIO109,TRC_DATA6,,,,,,,
H19,GPIO110,,PR0_PRU1_GPIO1,MCAN1_TX,RMII1_RXD1,RGMII1_RD1,MII1_RXD1,,,GPIO110,TRC_DATA7,,,,,,,
L11,VSS_L11,,,,,,,,,,,,,,,,,
K11,VSS_K11,,,,,,,,,,,,,,,,,
H17,GPIO111,,PR0_PRU1_GPIO2,,,RGMII1_RD2,MII1_RXD2,,,GPIO111,TRC_DATA8,,,,,,,
G20,GPIO112,,PR0_PRU1_GPIO3,,,RGMII1_RD3,MII1_RXD3,,,GPIO112,TRC_DATA9,,,,,,,
G19,GPIO108,,PR0_PRU1_GPIO4,MCAN0_TX,,RGMII1_RX_CTL,MII1_RXDV,,,GPIO108,TRC_DATA5,,,,,,,
F20,GPIO103,,PR0_PRU1_GPIO5,,RMII1_RX_ER,,MII1_RX_ER,,,GPIO103,TRC_DATA0,CHANNEL6,,,,,,
J11,VSS_J11,,,,,,,,,,,,,,,,,
H11,VSS_H11,,,,,,,,,,,,,,,,,
F19,GPIO107,,PR0_PRU1_GPIO6,MCAN0_RX,RMII1_REF_CLK,RGMII1_RXC,MII1_RXCLK,,,GPIO107,TRC_DATA4,,,,,,,
G18,GPIO106,,PR0_PRU1_GPIO8,,,,,,,GPIO106,TRC_DATA3,,,,,,,
E20,GPIO104,,PR0_PRU1_GPIO9,PR0_UART0_RXD,,PR0_IEP0_EDIO_DATA_IN_OUT31,MII1_COL,,GPMC0_A21,GPIO104,TRC_DATA1,CHANNEL7,,,,,,
E19,GPIO105,,PR0_PRU1_GPIO10,PR0_UART0_TXD,RMII1_CRS_DV,PR0_IEP0_EDIO_DATA_IN_OUT30,MII1_CRS,,GPMC0_A20,GPIO105,TRC_DATA2,,,,,,,
F17,GPIO115,,PR0_PRU1_GPIO11,,RMII1_TXD0,RGMII1_TD0,MII1_TXD0,,,GPIO115,TRC_DATA12,,,,,,,
G11,VSS_G11,,,,,,,,,,,,,,,,,
P12,VSS_P12,,,,,,,,,,,,,,,,,
D20,GPIO116,,PR0_PRU1_GPIO12,,RMII1_TXD1,RGMII1_TD1,MII1_TXD1,,,GPIO116,TRC_DATA13,,,,,,,
C20,GPIO117,,PR0_PRU1_GPIO13,,,RGMII1_TD2,MII1_TXD2,,,GPIO117,TRC_DATA14,,XBAROUT11,,,,,
D19,GPIO118,,PR0_PRU1_GPIO14,,,RGMII1_TD3,MII1_TXD3,,,GPIO118,TRC_DATA15,,XBAROUT12,,,,,
